EAN,Name,Price,Link,image
8681665066932,Nishman Hair Styling Powder,"€4,99",https://www.kappersleverancier.nl/collections/haarstyling/products/powder-hair-styling-wax,www.kappersleverancier.nl/cdn/shop/products/powder_512x916.jpg?v=1669374328
8681665066000,Nishman Hair Styling Wax,"€5,99",https://www.kappersleverancier.nl/collections/haarstyling/products/water-based-hair-styling-aqua-wax,www.kappersleverancier.nl/cdn/shop/products/nish-man-alle-9_512x512.jpg?v=1625867880
8680678835337,Morfose Pro Hair Wax,"€2,99",https://www.kappersleverancier.nl/collections/haarstyling/products/x5-strong-hold-pro-hair-orange,www.kappersleverancier.nl/cdn/shop/products/morfose_512x1067.jpg?v=1625867371
8682035081074,Nishman Matte Styling Serie 100 ml Pomade,"€4,99",https://www.kappersleverancier.nl/collections/haarstyling/products/new-matte-styling-serie-100-ml,www.kappersleverancier.nl/cdn/shop/products/nish-man-matte-wax-alles_512x512.jpg?v=1625867954
8697926007439,Red one Hair Wax Rood,"€2,39",https://www.kappersleverancier.nl/collections/haarstyling/products/red-one-wax-rood,www.kappersleverancier.nl/cdn/shop/products/redone-rood_500x500.jpg?v=1625867310
5060656210005,Slick Gorilla Hair Styling Powder,"€9,99",https://www.kappersleverancier.nl/collections/haarstyling/products/slick-gorilla-hair-styling-powder,www.kappersleverancier.nl/cdn/shop/files/slick2_405x1200.jpg?v=1713946631
8699009429619,Ossion Matte Wax,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/matte-wax,www.kappersleverancier.nl/cdn/shop/files/ossion-matte-styling-wax_512x512.png?v=1703240505
No barcode found,Haar kam / hair comb diverse soorten,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/haarkam-diverse-soorten,www.kappersleverancier.nl/cdn/shop/products/kam1_512x512.png?v=1625867678
8697926016844,Redone Bubblegum Hairgel,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/bubblegum-hairgel,www.kappersleverancier.nl/cdn/shop/products/redone-bubblegum_458x458.jpg?v=1625867370
8697926016240,Redone Hair Wax Zwart,"€2,39",https://www.kappersleverancier.nl/collections/haarstyling/products/hair-wax-zwart,www.kappersleverancier.nl/cdn/shop/products/redone-zwart_250x250.jpg?v=1625867316
8690021107011,Bonhair waxy gum gel,"€5,99",https://www.kappersleverancier.nl/collections/haarstyling/products/bonhair-waxy-gum-gel,www.kappersleverancier.nl/cdn/shop/files/bonhairrood_512x502.jpg?v=1684240827
8682035081371,Professionele Styling kam 034,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/professionele-styling-kam-034,www.kappersleverancier.nl/cdn/shop/products/034_512x512.png?v=1646396415
8697926007422,Red one Hair Wax Blauw,"€2,39",https://www.kappersleverancier.nl/collections/haarstyling/products/hair-wax-blauw,www.kappersleverancier.nl/cdn/shop/products/redone-blauw_500x500.jpg?v=1625867311
8682035083368,Professionele Styling kam 121,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/professionele-styling-kam-121,www.kappersleverancier.nl/cdn/shop/products/121_512x512.png?v=1646395977
8682035085799,Nishman Foam Wax,"€4,99",https://www.kappersleverancier.nl/collections/haarstyling/products/nishman-foam-wax,www.kappersleverancier.nl/cdn/shop/products/image_10c42e9f-1f4c-49ee-b17b-395c646e7fdf_512x512.jpg?v=1657202897
8682035081616,Nishman Hairgel Gum Effect 5+ 300 ml,"€5,99",https://www.kappersleverancier.nl/collections/haarstyling/products/hairgel-gum-effect-5,www.kappersleverancier.nl/cdn/shop/products/gel_512x512.png?v=1676027580
8697926016141,Redone Hair Wax Wit,"€2,39",https://www.kappersleverancier.nl/collections/haarstyling/products/hair-wax-wit,www.kappersleverancier.nl/cdn/shop/products/redone-wit_500x500.jpg?v=1625867317
8697926007262,Red one Hair Wax Grijs,"€2,39",https://www.kappersleverancier.nl/collections/haarstyling/products/hair-wax-grijs,www.kappersleverancier.nl/cdn/shop/files/red-one-redone-haarwax-quicksilver-aqua-hair-wax-f_3ea45948-1c02-44d9-b433-9743e31076a9_512x407.png?v=1698928164
8697926024191,Red one Hair Wax Oranje,"€2,39",https://www.kappersleverancier.nl/collections/haarstyling/products/hair-wax-oranje,www.kappersleverancier.nl/cdn/shop/products/redone-oranje_500x500.jpg?v=1625867312
8697926016257,Red one Hair Wax Paars,"€2,39",https://www.kappersleverancier.nl/collections/haarstyling/products/hair-wax-paars,www.kappersleverancier.nl/cdn/shop/products/redone-paars_512x455.jpg?v=1625867313
8697926007255,Red one Hair Wax Groen,"€2,39",https://www.kappersleverancier.nl/collections/haarstyling/products/hair-wax-groen,www.kappersleverancier.nl/cdn/shop/products/redone-groen_500x500.jpg?v=1625867315
5060656210043,Slick Gorilla Sea Salt Spray,"€12,99",https://www.kappersleverancier.nl/collections/haarstyling/products/slick-gorilla-sea-salt-spray,www.kappersleverancier.nl/cdn/shop/files/sea_512x561.png?v=1716540483
8682035084518,Nishman Hair Styling Powder Ultra Hold,"€4,99",https://www.kappersleverancier.nl/collections/haarstyling/products/nishman-hair-styling-powder-ultra-hold,www.kappersleverancier.nl/cdn/shop/files/p5_512x512.png?v=1703246336
8690021108957,Bonhair styling wax,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/bonhair-styling-wax,www.kappersleverancier.nl/cdn/shop/files/Bonhair-Styling-Wax-1_512x620.jpg?v=1684240384
8681665066093,Nishman Natural Look Styling Cream Hair Wax,"€4,99",https://www.kappersleverancier.nl/collections/haarstyling/products/natural-look-hair-wax,www.kappersleverancier.nl/cdn/shop/products/nish-man-cream-n5_512x512.png?v=1625867113
8698655380565,Morfose Ultra Aqua Wax,"€2,99",https://www.kappersleverancier.nl/collections/haarstyling/products/ultra-aqua-wax,www.kappersleverancier.nl/cdn/shop/files/aquagelwax_512x512.jpg?v=1703237849
8682035086444,Nishman Olive Sheen Spray,"€4,99",https://www.kappersleverancier.nl/collections/haarstyling/products/nishman-olive-sheen-spray,www.kappersleverancier.nl/cdn/shop/files/OLIVE_512x512.png?v=1703246145
8681665066383,Nishman Hairstyling Spider Wax,"€7,99",https://www.kappersleverancier.nl/collections/haarstyling/products/hair-styling-spider-wax,www.kappersleverancier.nl/cdn/shop/products/SPider_512x518.png?v=1625867908
8682035082910,Nishman Color Wax kleurwax colorwax,"€4,99",https://www.kappersleverancier.nl/collections/haarstyling/products/color-wax,www.kappersleverancier.nl/cdn/shop/products/nishman-colorwax-1_512x512.png?v=1625867099
8698655381296,Morfose Aqua Gel Wax,"€2,99",https://www.kappersleverancier.nl/collections/haarstyling/products/aqua-gel-wax,www.kappersleverancier.nl/cdn/shop/files/morfose-gel-wax-orange_512x512.png?v=1703237678
850016995155,Level 3 Styling Powder,"€7,49",https://www.kappersleverancier.nl/collections/haarstyling/products/level-3-styling-powder,www.kappersleverancier.nl/cdn/shop/files/powd_512x512.jpg?v=1710427676
850018251907,Level 3 Sea Salt Texturizing Spray,"€8,49",https://www.kappersleverancier.nl/collections/haarstyling/products/level-3-sea-salt-texturizing-spray,www.kappersleverancier.nl/cdn/shop/files/sea_5909ddc0-51b6-4539-8fe6-a4f8df4fa227_512x512.png?v=1710427848
8682035085775,Nishman Black Gel 300ml,"€7,99",https://www.kappersleverancier.nl/collections/haarstyling/products/nishman-black-gel,www.kappersleverancier.nl/cdn/shop/products/image_7f0d5ac4-3d5b-4e78-8303-dbf60566cddf_512x460.jpg?v=1656580749
8690021208091,Bonhair hair gel,"€5,99",https://www.kappersleverancier.nl/collections/haarstyling/products/bonhair-hair-gel,www.kappersleverancier.nl/cdn/shop/files/10459545763890_500x500.jpg?v=1684241178
40102128004,Andis Hair Grip,"€2,99",https://www.kappersleverancier.nl/collections/haarstyling/products/andis-hair-grip,www.kappersleverancier.nl/cdn/shop/files/202051147912800-andis-hair-gripper_512x512.png?v=1682934808
8682035081630,Professionele Styling kam 039,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/professionele-styling-kam-039,www.kappersleverancier.nl/cdn/shop/products/kam2_161ea34e-2b2e-4560-936c-53b997e847b7_512x512.png?v=1676030000
8682035081012,Nishman Color Powder Styling,"€4,99",https://www.kappersleverancier.nl/collections/haarstyling/products/color-powder-styling,www.kappersleverancier.nl/cdn/shop/products/nishman-powderstyling-whitecoverage_256x256.png?v=1625867580
No barcode found,Morfose Extra Aqua Wax,"€2,99",https://www.kappersleverancier.nl/collections/haarstyling/products/extra-aqua-wax,www.kappersleverancier.nl/cdn/shop/files/gel_a4faabbf-d0dc-4534-beab-53ca49201421_512x512.png?v=1703237760
8691988005907,Gummy hairwax Matte Finish,"€2,99",https://www.kappersleverancier.nl/collections/haarstyling/products/gummy-hairwax-matte-finish,www.kappersleverancier.nl/cdn/shop/products/image_c8a4e66f-ceed-4afe-a027-6ae5a0f94228_500x500.webp?v=1656171643
868203508138,Professionele Styling kam 044,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/professionele-styling-kam-044,www.kappersleverancier.nl/cdn/shop/products/044_512x512.png?v=1646396277
https://www.nishman.com.tr/homepage,Professionele Styling kam 043,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/professionele-styling-kam-043,www.kappersleverancier.nl/cdn/shop/products/043_225e3625-f1e7-4e69-b530-25165045ad78_512x512.png?v=1646396125
8682035085850,Nishman Hairgel Argan 5+,"€4,99",https://www.kappersleverancier.nl/collections/haarstyling/products/hairgel-gum-effect-5-argan,www.kappersleverancier.nl/cdn/shop/products/image_5bf2e96f-1dce-40b7-870a-e5075ec60981_512x512.jpg?v=1657201974
8697926023286,Redone Class Wax Cobra,"€2,39",https://www.kappersleverancier.nl/collections/haarstyling/products/wax-cobra,www.kappersleverancier.nl/cdn/shop/products/redone-cobra-rood_512x512.jpg?v=1625867232
868203508782,Nishman Black Gel 200ml,"€4,99",https://www.kappersleverancier.nl/collections/haarstyling/products/nishman-black-gel-200ml,www.kappersleverancier.nl/cdn/shop/products/image_ed4d9a85-2990-4049-b4b0-495859f9f2fe_512x512.jpg?v=1657202797
8682035080978,Nishman Hairgel Gum Effect 5+ 750 ml,"€7,99",https://www.kappersleverancier.nl/collections/haarstyling/products/hairgel-gum-effect-5-750-ml,www.kappersleverancier.nl/cdn/shop/files/hairgel_512x518.png?v=1703247969
8697926023279,Redone hairwax olive,"€2,39",https://www.kappersleverancier.nl/collections/haarstyling/products/wax-olive,www.kappersleverancier.nl/cdn/shop/products/redone-wax-oil-olive_512x512.jpg?v=1625867425
8691988007994,Gummy hairwax Casual Look,"€2,99",https://www.kappersleverancier.nl/collections/haarstyling/products/gummy-hairwax-casual-look,www.kappersleverancier.nl/cdn/shop/products/image_3fecd3bf-ac98-4573-a947-bde0e2d9c095_500x500.webp?v=1656171571
No barcode found,Redone haar wax doos 48 stuks,"€99,99",https://www.kappersleverancier.nl/collections/haarstyling/products/redone-haar-wax-doos-48-stuks,www.kappersleverancier.nl/cdn/shop/files/Redonewaxbox_512x310.jpg?v=1698924299
8682035083405,Professionele Styling kam 025,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/professionele-styling-kam-025,www.kappersleverancier.nl/cdn/shop/products/025_512x512.png?v=1646396183
8682035084839,Nishman Giftbox / Cadeau box,"€19,99",https://www.kappersleverancier.nl/collections/haarstyling/products/giftbox-cadeau-box,www.kappersleverancier.nl/cdn/shop/products/Gift_512x512.jpg?v=1625867667
850018251006,Level 3 Pomade,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/level-3-pomade,www.kappersleverancier.nl/cdn/shop/files/poma_512x512.jpg?v=1710427567
8691988008014,Gummy hairwax Ultra Hold,"€2,99",https://www.kappersleverancier.nl/collections/haarstyling/products/gummy-hairwax-ultra-hold,www.kappersleverancier.nl/cdn/shop/products/image_500x500.webp?v=1656171468
8681665066550,Nishman Hair Styling Gel,"€4,99",https://www.kappersleverancier.nl/collections/haarstyling/products/hair-styling-gel,www.kappersleverancier.nl/cdn/shop/products/nish-man-gel-01-casual_512x512.png?v=1625867118
4015110028147,Wahl Round Brush Borstel,"€8,49",https://www.kappersleverancier.nl/collections/haarstyling/products/wahl-round-brush-borstel,www.kappersleverancier.nl/cdn/shop/products/Wahl-Round-Brush-borstel-Hero_512x512.jpg?v=1680696650
5412058219627,Styling Sponge / Spons,"€6,99",https://www.kappersleverancier.nl/collections/haarstyling/products/styling-sponge,www.kappersleverancier.nl/cdn/shop/products/sponge_512x512.png?v=1678203496
8682035081647,Professionele Styling kam 037,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/professionele-styling-kam,www.kappersleverancier.nl/cdn/shop/products/037_512x512.png?v=1646395885
8682035081364,Professionele Styling kam 029,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/professionele-styling-kam-029,www.kappersleverancier.nl/cdn/shop/products/kam_512x512.png?v=1676029948
8691988008007,Gummy hairwax Extra Gloss,"€2,99",https://www.kappersleverancier.nl/collections/haarstyling/products/gummy-hairwax-extra-gloss,www.kappersleverancier.nl/cdn/shop/products/image_512x472.jpg?v=1656171331
8682035080589,Nishman Styling Gel Ultra Hold,"€5,99",https://www.kappersleverancier.nl/collections/haarstyling/products/styling-gel-ultra-hold,www.kappersleverancier.nl/cdn/shop/files/hairgel_fb455ca0-9e89-49da-8321-9f84af08e5b8_512x512.png?v=1706705092
7448132356320,Gummy hairwax Hard Finish,"€2,99",https://www.kappersleverancier.nl/collections/haarstyling/products/gummy-hairwax-hard-finish,www.kappersleverancier.nl/cdn/shop/products/image_128a82ec-2534-44de-8e5a-6b2392e8ead4_500x500.webp?v=1656171610
96190814,Slick Gorilla Lightwork,"€11,99",https://www.kappersleverancier.nl/collections/haarstyling/products/slick-gorilla-lightwork,www.kappersleverancier.nl/cdn/shop/files/light_512x404.png?v=1716540374
96190807,Slick Gorilla Clay Pomade,"€11,99",https://www.kappersleverancier.nl/collections/haarstyling/products/slick-gorilla-clay-pomade,www.kappersleverancier.nl/cdn/shop/files/clay_488x429.png?v=1716292162
5060656210876,Slick Gorilla Curl Cream,"€12,99",https://www.kappersleverancier.nl/collections/haarstyling/products/slick-gorilla-curl-cream,www.kappersleverancier.nl/cdn/shop/files/curl_be67b7db-0535-44f3-a171-6afdbf4a2193_512x512.png?v=1716540958
8681701000777,Morfose Ossion Hair & Beard Styling Wax,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/morfose-ossion-hair-beard-styling-wax,www.kappersleverancier.nl/cdn/shop/files/Ossion-Hair_Beard-Wax_512x475.webp?v=1709111445
5412058219726,"Sibel Metal Brush Frizzy Hair Model 1 21x7,5cm","€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/sibel-metal-brush-frizzy-hair-model-1-21x7-5cm,www.kappersleverancier.nl/cdn/shop/products/get-image-thumbnail_512x1099.jpg?v=1680171772
8682035085065,Nishman Hair Styling Pomade W11,"€4,99",https://www.kappersleverancier.nl/collections/haarstyling/products/matte-styling-serie-100-ml-pomade-w11,www.kappersleverancier.nl/cdn/shop/products/image_86418e15-68c1-44aa-b0e8-0ebd6862ce2d_512x512.jpg?v=1657202348
8720094009612,Gummy hairgel maximum hold,"€4,99",https://www.kappersleverancier.nl/collections/haarstyling/products/gummy-hairgel-maximum-hold,www.kappersleverancier.nl/cdn/shop/files/FullSizeRender_ea193c52-f105-474e-b112-44869b19fdd3_512x466.jpg?v=1699023672
4015110028123,Wahl Vent Brush Black,"€9,99",https://www.kappersleverancier.nl/collections/haarstyling/products/wahl-vent-brush-black,www.kappersleverancier.nl/cdn/shop/products/www_265x492.jpg?v=1680696965
5412058219740,Sibel Metal Brush Frizzy Hair Model 3,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/sibel-metal-brush-frizzy-hair-model-3,www.kappersleverancier.nl/cdn/shop/products/get-image-thumbnail_2_b8e409cc-c406-4085-913c-ddea8814e1d2_512x805.jpg?v=1680172109
850018251044,Level 3 Forming Cream,"€4,49",https://www.kappersleverancier.nl/collections/haarstyling/products/level-3-forming-cream,www.kappersleverancier.nl/cdn/shop/files/for_512x512.jpg?v=1710427467
86699009441536,Ossion Premium Barber Hair Wax,"€2,99",https://www.kappersleverancier.nl/collections/haarstyling/products/ossion-premium-barber-hair-wax,www.kappersleverancier.nl/cdn/shop/files/morfose_512x470.webp?v=1709110225
8682035086628,Nishlady Hair Stick Wax,"€4,99",https://www.kappersleverancier.nl/collections/haarstyling/products/nishlady-hair-stick-wax,www.kappersleverancier.nl/cdn/shop/files/stick_512x512.png?v=1706706807
810119061737,Level 3 Sculpting Clay,"€5,99",https://www.kappersleverancier.nl/collections/haarstyling/products/level-3-sculpting-clay,www.kappersleverancier.nl/cdn/shop/files/sc_aaefb586-1abc-4b64-a5c2-485d7c69caaf_512x512.png?v=1715849207
8682035088974,Nishman Hair Styling Molding Paste A1,"€6,99",https://www.kappersleverancier.nl/collections/haarstyling/products/nishman-hair-styling-molding-paste-a1,www.kappersleverancier.nl/cdn/shop/files/a1_9a24db20-246f-4792-8df9-631002e3426f_512x512.png?v=1706702294
8691988007178,Gummy hairwax Bright Max Hold,"€2,99",https://www.kappersleverancier.nl/collections/haarstyling/products/gummy-hairwax-bright-max-hold,www.kappersleverancier.nl/cdn/shop/products/image_fe860672-181a-4a12-a7dc-30fce19d9084_500x500.webp?v=1656171518
850018251037,Level 3 Spider Wax,"€4,99",https://www.kappersleverancier.nl/collections/haarstyling/products/level-3-spider-wax,www.kappersleverancier.nl/cdn/shop/files/spider_512x512.jpg?v=1715852942
8682035085096,Nishman Pomade M9 Fibre Matte Hair Styling,"€4,99",https://www.kappersleverancier.nl/collections/haarstyling/products/nishman-pomade-m9-fibre-matte-hair-styling,www.kappersleverancier.nl/cdn/shop/files/m9_512x512.png?v=1703250822
8682035086635,Nishman Hair Defining U1 Matte Paste Argan,"€6,99",https://www.kappersleverancier.nl/collections/haarstyling/products/nishman-hair-defining-u1-matte-paste-argan,www.kappersleverancier.nl/cdn/shop/files/hairu1_512x512.png?v=1703246676
43917332970,Wahl Flat Top Speed Comb Zwart,"€15,99",https://www.kappersleverancier.nl/collections/haarstyling/products/wahl-flat-top-speed-comb-zwart,www.kappersleverancier.nl/cdn/shop/products/wahl_382x822.png?v=1680696470
8682035085058,Nishman Hair Styling Pomade W10,"€4,99",https://www.kappersleverancier.nl/collections/haarstyling/products/matte-styling-serie-100-ml-pomade-w10,www.kappersleverancier.nl/cdn/shop/products/image_bbc1dde6-bd9c-40b9-9dc4-0a693edf1e3b_512x512.jpg?v=1657202309
8682035087328,Fenerbahçe Hair Styling Wax Golden,"€2,99",https://www.kappersleverancier.nl/collections/haarstyling/products/fenerbahce-hair-styling-wax-golden,www.kappersleverancier.nl/cdn/shop/files/goldddddd_512x513.jpg?v=1710690848
8682035087335,Fenerbahce Hair Styling Wax Blue,"€2,99",https://www.kappersleverancier.nl/collections/haarstyling/products/fenerbahce-hair-styling-wax-blue,www.kappersleverancier.nl/cdn/shop/files/blueeee_512x688.jpg?v=1710690791
8682035087083,Nishlady Sea Salt Spray,"€5,99",https://www.kappersleverancier.nl/collections/haarstyling/products/nishlady-sea-salt-spray,www.kappersleverancier.nl/cdn/shop/files/Sea-Salt-Spray-200ml_512x615.jpg?v=1706618799
5060656210760,Slick Gorilla Finishing Spray,"€12,99",https://www.kappersleverancier.nl/collections/haarstyling/products/slick-gorilla-finishing-spray,www.kappersleverancier.nl/cdn/shop/files/fini_512x512.png?v=1716540655
